"GA_Id","Name","YE_Id","Filename","FileToRun","FilenameIndex","ScrnshotFilename","MU_Id","GE_Id","PU_Id","DI_Id","CR_Id","SidFilename","DateLastPlayed","TimesPlayed","CCode","HighScore","FA","SA","Fav","PR_Id","LA_Id","Extras","Classic","Rating","V_PalNTSC","V_Length","V_Trainers","PlayersFrom","PlayersTo","PlayersSim","Adult","MemoText","Prequel","Sequel","Related","Control","CRC","Filesize","Version","Gemus","V_LengthType","Comment","V_Comment","V_LoadingScreen","V_HighScoreSaver","V_IncludedDocs","V_TrueDriveEmu","AR_Id","DE_Id","LI_Id","RA_Id","WebLink_Name","WebLink_URL","V_WebLink_Name","V_WebLink_URL","V_TitleScreen","V_Playable","V_Original","CloneOf","ReviewRating"
"20325","Sixers","23","s2\SIXERS_20325_01.zip","","0","S\Sixers.png","3939","57","640","8","7","","","0","4","","0","0","0","7675","2","1","0","0","1","172","0","1","2","0","0","","0","0","0","2","","0","1","","0","","","0","0","0","0","5501","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20325","","","2","2","2","0","-1"
"20326","Snake Pit","24","s3\SNAKEPT3_20326_02.zip","","0","S\Snake_Pit_v3.png","38","6","32","8","1670","","","0","4","","0","0","0","1","2","0","0","0","3","65","2","1","1","0","0","","0","0","7172","0","","0","2","","0","sample of 'The Games Creator'","","1","0","0","0","1","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20326","","","2","2","2","0","-1"
"20328","Word Whiz","38","w\WORDWHIZ_20328_01.zip","","0","W\Word_Whiz.png","39","1","2536","8","7","","","0","4","","0","0","0","1","2","0","0","0","1","28","0","1","4","0","0","","0","0","0","2","","0","1","","0","Tiger-Crew-Disk #050 (05/1998)","version 2.13","0","0","0","0","1","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20328","","","2","2","2","0","-1"
"20330","Percy the Plumber","25","p1\PERCYPLU_20330_01.zip","","0","P\Percy_the_Plumber.png","39","2","639","8","1676","","","0","4","","0","0","0","2842","2","1","0","0","1","18","0","1","1","0","0","","0","0","0","0","","0","1","","0","Computer Gamer 1985/08 (Issue #05)","","0","0","0","0","1","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20330","","","2","2","2","0","-1"
"20331","Hell House - The New Adventures of Chuck","25","h\HELLHOUS_20331_01.zip","","0","H\Hell_House.png","39","88","639","8","1676","","","0","4","","0","0","0","7678","2","1","0","0","1","14","0","1","1","0","0","","0","0","0","2","","0","1","","0","Computer Gamer 1985/09 (Issue #06)","","0","0","0","0","2","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20331","","","2","2","2","0","-1"
"20332","Scramble","25","s1\SCRAMBL7_20332_01.zip","","0","S\Scramble_v7.png","39","113","639","8","1676","","","0","4","","0","0","0","7679","2","1","0","0","1","52","0","1","1","0","0","","0","0","0","0","","0","1","","0","Computer Gamer 1985/10 (Issue #07)","","0","0","0","0","3376","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20332","","","2","2","2","0","-1"
"20333","UFO","26","u\UFO11_20333_01.zip","","0","U\UFO_v11.png","39","10","639","8","1680","","","0","4","","0","0","0","7680","2","1","0","0","1","13","0","1","1","0","0","","0","0","0","0","","0","1","","0","Computer Gamer 1986/03 (Issue #12)","","0","0","0","0","1","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20333","","","2","2","2","0","-1"
"20334","Bank","26","b1\BANK_20334_01.zip","","0","B\Bank.png","39","5","639","8","1676","","","0","4","","0","0","0","7681","2","1","0","0","1","21","0","1","1","0","0","","0","0","0","2","","0","1","","0","Computer Gamer 1986/04 (Issue #13) / no definite name, called 'Bank Panic' in the magazine","","0","0","0","0","1","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20334","","","2","2","2","0","-1"
"20335","Dropout","26","d2\DROPOUT_20335_01.zip","","0","D\Dropout.png","39","2","639","8","1676","","","0","4","","0","0","0","4290","2","1","0","0","3","25","0","1","1","0","0","","0","0","0","2","","0","1","","0","Computer Gamer 1986/12 (Issue #21)","","0","0","0","0","1846","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20335","","","2","2","2","0","-1"
"20336","Oghh","25","o\OGHH_20336_02.zip","","0","O\Oghh.png","39","2","639","8","7","","","0","4","","0","0","0","7682","2","1","0","0","1","23","0","1","1","0","0","","0","0","0","2","","0","2","","0","Computer Gamer 1985/04 (Issue #01)","","0","0","0","0","3607","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20336","","","2","2","2","0","-1"
