"name","image_url","game_page_url","release_date","console","developer","publisher","l1","l2","l1_url","l2_url"
"Major DS - Dream Baseball","","https://www.zophar.net/music/nintendo-ds-2sf/major-ds-dream-baseball","Jul 31st,2008","Nintendo DS","","Takara Tomy","Download all files as MP3 (44 MB)","Download original music files (1 MB)","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/major-ds-dream-baseball/shkthshd/Major%20DS%20-%20Dream%20Baseball%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/major-ds-dream-baseball/Major%20DS%20-%20Dream%20Baseball%20%28EMU%29.zophar.zip"
"Major League Baseball 2K7","","https://www.zophar.net/music/nintendo-ds-2sf/major-league-baseball-2k7","Mar 19th,2007","Nintendo DS","Skyworks","2k Games","Download all files as MP3 (3 MB)","Download original music files (580 KB)","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/major-league-baseball-2k7/duqeznou/Major%20League%20Baseball%202K7%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/major-league-baseball-2k7/Major%20League%20Baseball%202K7%20%28EMU%29.zophar.zip"
"Major League Baseball 2K8 - Fantasy All-Stars","","https://www.zophar.net/music/nintendo-ds-2sf/major-league-baseball-2k8-fantasy-all-stars","Apr 14th,2008","Nintendo DS","Deep Fried","Take 2","Download all files as MP3 (67 MB)","Download original music files (10 MB)","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/major-league-baseball-2k8-fantasy-all-stars/bjowkwzx/Major%20League%20Baseball%202K8%20-%20Fantasy%20All-Stars%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/major-league-baseball-2k8-fantasy-all-stars/Major%20League%20Baseball%202K8%20-%20Fantasy%20All-Stars%20%28EMU%29.zophar.zip"
"Make 10 - A Journey of Numbers","","https://www.zophar.net/music/nintendo-ds-2sf/make-10-a-journey-of-numbers","Oct 10th,2007","Nintendo DS","muu muu","Nintendo","Download all files as MP3 (76 MB)","Download original music files (2 MB)","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/make-10-a-journey-of-numbers/xhfoqqkz/Make%2010%20-%20A%20Journey%20of%20Numbers%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/make-10-a-journey-of-numbers/Make%2010%20-%20A%20Journey%20of%20Numbers%20%28EMU%29.zophar.zip"
"Mame Goma - Honobo no Nikki","","https://www.zophar.net/music/nintendo-ds-2sf/mame-goma-honobo-no-nikki","Jul 26th,2007","Nintendo DS","","TDK Core","Download all files as MP3 (54 MB)","Download original music files (3 MB)","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/mame-goma-honobo-no-nikki/ukogfkou/Mame%20Goma%20-%20Honobo%20no%20Nikki%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/mame-goma-honobo-no-nikki/Mame%20Goma%20-%20Honobo%20no%20Nikki%20%28EMU%29.zophar.zip"
"Mame Goma 2 - Uchi no Ko ga Ichiban!","","https://www.zophar.net/music/nintendo-ds-2sf/mame-goma-2-uchi-no-ko-ga-ichiban","Jul 31st,2008","Nintendo DS","","Creative Core","Download all files as MP3 (38 MB)","Download original music files (961 KB)","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/mame-goma-2-uchi-no-ko-ga-ichiban/bnzavcol/Mame%20Goma%202%20-%20Uchi%20no%20Ko%20ga%20Ichiban%21%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/mame-goma-2-uchi-no-ko-ga-ichiban/Mame%20Goma%202%20-%20Uchi%20no%20Ko%20ga%20Ichiban%21%20%28EMU%29.zophar.zip"
"Mame Goma 3 - Kawaii ga Ippai","","https://www.zophar.net/music/nintendo-ds-2sf/mame-goma-3-kawaii-ga-ippai","Aug 5th,2010","Nintendo DS","Infinity","Nippon Columbia","Download all files as MP3 (46 MB)","Download original music files (2 MB)","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/mame-goma-3-kawaii-ga-ippai/yfkgjdwu/Mame%20Goma%203%20-%20Kawaii%20ga%20Ippai%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/mame-goma-3-kawaii-ga-ippai/Mame%20Goma%203%20-%20Kawaii%20ga%20Ippai%20%28EMU%29.zophar.zip"
"Manga-ka Debut Monogatari DS - Akogare! Manga-ka Ikusei Game","","https://www.zophar.net/music/nintendo-ds-2sf/manga-ka-debut-monogatari-ds-akogare-manga-ka-ikusei-game","Nov 10th,2005","Nintendo DS","","TDK Core","Download all files as MP3 (38 MB)","Download original music files (825 KB)","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/manga-ka-debut-monogatari-ds-akogare-manga-ka-ikusei-game/vurcmnni/Manga-ka%20Debut%20Monogatari%20DS%20-%20Akogare%21%20Manga-ka%20Ikusei%20Game%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/manga-ka-debut-monogatari-ds-akogare-manga-ka-ikusei-game/Manga-ka%20Debut%20Monogatari%20DS%20-%20Akogare%21%20Manga-ka%20Ikusei%20Game%20%28EMU%29.zophar.zip"
"MapleStory DS","","https://www.zophar.net/music/nintendo-ds-2sf/maplestory-ds","Nov 17th,2011","Nintendo DS","Nexon","Nexon","Download all files as MP3 (404 MB)","Download original music files (16 MB)","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/maplestory-ds/yxjdnoyd/MapleStory%20DS%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/maplestory-ds/MapleStory%20DS%20%28EMU%29.zophar.zip"
"Mar Heaven - Boukyaku no Klavier","","https://www.zophar.net/music/nintendo-ds-2sf/mar-heaven-boukyaku-no-klavier","Sep 7th,2006","Nintendo DS","Alpha Unit","Konami","Download all files as MP3 (116 MB)","Download original music files (4 MB)","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/mar-heaven-boukyaku-no-klavier/hfdvcyhh/Mar%20Heaven%20-%20Boukyaku%20no%20Klavier%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/mar-heaven-boukyaku-no-klavier/Mar%20Heaven%20-%20Boukyaku%20no%20Klavier%20%28EMU%29.zophar.zip"
